name,per,team
name,per,team
Kareem Abdul-Jabbar,15.8,LAL
Mark Acres,9.3,BOS
Alvan Adams,13.1,PHO
Michael Adams,15.6,DEN
Mark Aguirre,21.9,DAL
Danny Ainge,15.9,BOS
Greg Anderson,14.7,SAS
Richard Anderson,10.7,POR
Ron Anderson,16.2,IND
John Bagley,12.4,NJN
Thurl Bailey,16.3,UTA
Charles Barkley,27.6,PHI
John Battle,16.3,ATL
Benoit Benjamin,14.1,LAC
Walter Berry,18.8,SAS
Larry Bird,27.8,BOS
Otis Birdsong,10.4,NJN
Rolando Blackman,16.0,DAL
Muggsy Bogues,12.7,WSB
Manute Bol,10.8,WSB
Dudley Bradley,11.4,NJN
Randy Breuer,15.3,MIL
Frank Brickowski,16.0,SAS
Michael Cage,16.4,LAC
Antoine Carr,15.5,ATL
Joe Barry Carroll,14.0,HOU
Bill Cartwright,17.8,NYK
Terry Catledge,14.7,WSB
Tom Chambers,16.8,SEA
Maurice Cheeks,18.0,PHI
Steve Colter,13.4,WSB
Dallas Comegys,9.5,NJN
Michael Cooper,11.6,LAL
Tyrone Corbin,11.4,CLE
Dave Corzine,13.6,CHI
Terry Cummings,17.4,MIL
Earl Cureton,9.2,LAC
Dell Curry,15.1,CLE
Quintin Dailey,16.8,LAC
Adrian Dantley,19.9,DET
Brad Daugherty,16.2,CLE
Brad Davis,14.5,DAL
Walter Davis,17.8,PHO
Johnny Dawkins,17.0,SAS
James Donaldson,12.4,DAL
Larry Drew,11.7,LAC
Clyde Drexler,24.1,POR
Kevin Duckworth,14.9,POR
Joe Dumars,13.7,DET
T.R. Dunn,8.3,DEN
Mark Eaton,9.5,UTA
James Edwards,12.4,PHO
Craig Ehlo,12.5,CLE
Dale Ellis,19.3,SEA
Alex English,19.8,DEN
Patrick Ewing,21.9,NYK
Dave Feitl,10.7,GSW
Vern Fleming,17.5,IND
Sleepy Floyd,14.0,HOU
Tellis Frank,10.2,GSW
Winston Garland,13.8,GSW
Armen Gilliam,12.9,PHO
Mike Gminski,15.8,NJN
Mike Gminski,17.5,PHI
Horace Grant,13.0,CHI
A.C. Green,14.5,LAL
Rickey Green,13.2,UTA
Sidney Green,10.3,NYK
Dave Greenwood,10.8,SAS
Darrell Griffith,12.7,UTA
Petur Gudmundsson,12.9,SAS
Bob Hansen,12.9,UTA
Bill Hanzlik,8.2,DEN
Derek Harper,18.1,DAL
Ron Harper,16.6,CLE
Gerald Henderson,12.5,PHI
Rod Higgins,16.3,GSW
Roy Hinson,15.6,NJN
Mike Holton,11.4,POR
Dennis Hopson,10.2,NJN
Jeff Hornacek,15.9,PHO
Phil Hubbard,11.8,CLE
Jay Humphries,15.8,PHO
Marc Iavaroni,8.6,UTA
Mark Jackson,15.7,NYK
Dennis Johnson,14.0,BOS
Eddie Johnson,15.2,PHO
Frank Johnson,13.5,WSB
Kevin Johnson,13.4,CLE
Magic Johnson,23.1,LAL
Steve Johnson,14.9,POR
Vinnie Johnson,13.8,DET
Caldwell Jones,8.0,POR
Charles Jones,9.3,WSB
Michael Jordan,31.7,CHI
Jerome Kersey,17.3,POR
Albert King,7.2,PHI
Bernard King,15.0,WSB
Joe Kleine,13.4,SAC
Jon Koncak,11.8,ATL
Larry Krystkowiak,11.1,MIL
Bill Laimbeer,15.1,DET
Allen Leavell,14.3,HOU
Fat Lever,20.5,DEN
Cliff Levingston,15.5,ATL
Alton Lister,12.0,SEA
John Long,15.2,IND
John Lucas,16.1,MIL
Maurice Lucas,11.5,POR
Rick Mahorn,13.7,DET
Jeff Malone,16.1,WSB
Karl Malone,20.7,UTA
Moses Malone,21.1,WSB
Tim McCormick,14.4,NJN
Rodney McCray,15.1,HOU
Xavier McDaniel,18.2,SEA
Ben McDonald,9.0,GSW
Kevin McHale,21.9,BOS
Derrick McKey,13.8,SEA
Nate McMillan,15.9,SEA
Reggie Miller,14.0,IND
Mike Mitchell,15.7,SAS
Sidney Moncrief,15.2,MIL
Chris Mullin,19.8,GSW
Larry Nance,20.5,PHO
Johnny Newman,12.1,NYK
Ken Norman,11.2,LAC
Charles Oakley,15.4,CHI
Hakeem Olajuwon,23.4,HOU
Robert Parish,17.2,BOS
John Paxson,12.3,CHI
Sam Perkins,15.0,DAL
Chuck Person,13.9,IND
Jim Petersen,11.8,HOU
Ed Pinckney,14.3,SAC
Scottie Pippen,12.9,CHI
Olden Polynice,9.8,SEA
Terry Porter,18.1,POR
Paul Pressey,17.0,MIL
Harold Pressley,12.7,SAC
Mark Price,17.6,CLE
Blair Rasmussen,16.0,DEN
Jerry Reynolds,13.6,MIL
Doc Rivers,20.4,ATL
Fred Roberts,12.6,BOS
Alvin Robertson,18.9,SAS
Cliff Robinson,15.7,PHI
Dennis Rodman,17.4,DET
Tree Rollins,10.6,ATL
John Salley,14.2,DET
Danny Schayes,18.4,DEN
Detlef Schrempf,14.2,DAL
Byron Scott,19.2,LAL
Brad Sellers,10.7,CHI
Purvis Short,15.8,HOU
Jack Sikma,17.4,MIL
Kenny Smith,13.3,SAC
Otis Smith,19.4,GSW
Steve Stipanovich,15.0,IND
John Stockton,23.2,UTA
Jon Sundvold,12.6,SAS
Roy Tarpley,19.5,DAL
Reggie Theus,16.5,SAC
Isiah Thomas,18.2,DET
LaSalle Thompson,15.3,SAC
Mychal Thompson,14.6,LAL
Otis Thorpe,18.7,SAC
Wayman Tisdale,16.1,IND
Trent Tucker,11.8,NYK
Melvin Turpin,13.8,UTA
Terry Tyler,12.4,SAC
Darnell Valentine,13.5,LAC
Kiki Vandeweghe,19.8,POR
Jay Vincent,15.6,DEN
Kenny Walker,12.3,NYK
Pearl Washington,13.1,NJN
Spud Webb,14.8,ATL
Mark West,13.9,CLE
Jerome Whitehead,10.8,GSW
Dominique Wilkins,23.7,ATL
Gerald Wilkins,13.7,NYK
Buck Williams,18.2,NJN
Herb Williams,12.0,IND
Hot Rod Williams,15.8,CLE
John Williams,14.9,WSB
Kevin Williams,12.0,SEA
Kevin Willis,14.0,ATL
David Wingate,8.5,PHI
Randy Wittman,11.6,ATL
Joe Wolf,7.6,LAC
Mike Woodson,14.7,LAC
James Worthy,18.2,LAL
name,per,team
Kareem Abdul-Jabbar,15.8,LAL
Mark Acres,9.3,BOS
Alvan Adams,13.1,PHO
Michael Adams,15.6,DEN
Mark Aguirre,21.9,DAL
Danny Ainge,15.9,BOS
Greg Anderson,14.7,SAS
Richard Anderson,10.7,POR
Ron Anderson,16.2,IND
John Bagley,12.4,NJN
Thurl Bailey,16.3,UTA
Charles Barkley,27.6,PHI
John Battle,16.3,ATL
Benoit Benjamin,14.1,LAC
Walter Berry,18.8,SAS
Larry Bird,27.8,BOS
Otis Birdsong,10.4,NJN
Rolando Blackman,16.0,DAL
Muggsy Bogues,12.7,WSB
Manute Bol,10.8,WSB
Dudley Bradley,11.4,NJN
Randy Breuer,15.3,MIL
Frank Brickowski,16.0,SAS
Michael Cage,16.4,LAC
Antoine Carr,15.5,ATL
Joe Barry Carroll,14.0,HOU
Bill Cartwright,17.8,NYK
Terry Catledge,14.7,WSB
Tom Chambers,16.8,SEA
Maurice Cheeks,18.0,PHI
Steve Colter,13.4,WSB
Dallas Comegys,9.5,NJN
Michael Cooper,11.6,LAL
Tyrone Corbin,11.4,CLE
Dave Corzine,13.6,CHI
Terry Cummings,17.4,MIL
Earl Cureton,9.2,LAC
Dell Curry,15.1,CLE
Quintin Dailey,16.8,LAC
Adrian Dantley,19.9,DET
Brad Daugherty,16.2,CLE
Brad Davis,14.5,DAL
Walter Davis,17.8,PHO
Johnny Dawkins,17.0,SAS
James Donaldson,12.4,DAL
Larry Drew,11.7,LAC
Clyde Drexler,24.1,POR
Kevin Duckworth,14.9,POR
Joe Dumars,13.7,DET
T.R. Dunn,8.3,DEN
Mark Eaton,9.5,UTA
James Edwards,12.4,PHO
Craig Ehlo,12.5,CLE
Dale Ellis,19.3,SEA
Alex English,19.8,DEN
Patrick Ewing,21.9,NYK
Dave Feitl,10.7,GSW
Vern Fleming,17.5,IND
Sleepy Floyd,14.0,HOU
Tellis Frank,10.2,GSW
Winston Garland,13.8,GSW
Armen Gilliam,12.9,PHO
Mike Gminski,15.8,NJN
Mike Gminski,17.5,PHI
Horace Grant,13.0,CHI
A.C. Green,14.5,LAL
Rickey Green,13.2,UTA
Sidney Green,10.3,NYK
Dave Greenwood,10.8,SAS
Darrell Griffith,12.7,UTA
Petur Gudmundsson,12.9,SAS
Bob Hansen,12.9,UTA
Bill Hanzlik,8.2,DEN
Derek Harper,18.1,DAL
Ron Harper,16.6,CLE
Gerald Henderson,12.5,PHI
Rod Higgins,16.3,GSW
Roy Hinson,15.6,NJN
Mike Holton,11.4,POR
Dennis Hopson,10.2,NJN
Jeff Hornacek,15.9,PHO
Phil Hubbard,11.8,CLE
Jay Humphries,15.8,PHO
Marc Iavaroni,8.6,UTA
Mark Jackson,15.7,NYK
Dennis Johnson,14.0,BOS
Eddie Johnson,15.2,PHO
Frank Johnson,13.5,WSB
Kevin Johnson,13.4,CLE
Magic Johnson,23.1,LAL
Steve Johnson,14.9,POR
Vinnie Johnson,13.8,DET
Caldwell Jones,8.0,POR
Charles Jones,9.3,WSB
Michael Jordan,31.7,CHI
Jerome Kersey,17.3,POR
Albert King,7.2,PHI
Bernard King,15.0,WSB
Joe Kleine,13.4,SAC
Jon Koncak,11.8,ATL
Larry Krystkowiak,11.1,MIL
Bill Laimbeer,15.1,DET
Allen Leavell,14.3,HOU
Fat Lever,20.5,DEN
Cliff Levingston,15.5,ATL
Alton Lister,12.0,SEA
John Long,15.2,IND
John Lucas,16.1,MIL
Maurice Lucas,11.5,POR
Rick Mahorn,13.7,DET
Jeff Malone,16.1,WSB
Karl Malone,20.7,UTA
Moses Malone,21.1,WSB
Tim McCormick,14.4,NJN
Rodney McCray,15.1,HOU
Xavier McDaniel,18.2,SEA
Ben McDonald,9.0,GSW
Kevin McHale,21.9,BOS
Derrick McKey,13.8,SEA
Nate McMillan,15.9,SEA
Reggie Miller,14.0,IND
Mike Mitchell,15.7,SAS
Sidney Moncrief,15.2,MIL
Chris Mullin,19.8,GSW
Larry Nance,20.5,PHO
Johnny Newman,12.1,NYK
Ken Norman,11.2,LAC
Charles Oakley,15.4,CHI
Hakeem Olajuwon,23.4,HOU
Robert Parish,17.2,BOS
John Paxson,12.3,CHI
Sam Perkins,15.0,DAL
Chuck Person,13.9,IND
Jim Petersen,11.8,HOU
Ed Pinckney,14.3,SAC
Scottie Pippen,12.9,CHI
Olden Polynice,9.8,SEA
Terry Porter,18.1,POR
Paul Pressey,17.0,MIL
Harold Pressley,12.7,SAC
Mark Price,17.6,CLE
Blair Rasmussen,16.0,DEN
Jerry Reynolds,13.6,MIL
Doc Rivers,20.4,ATL
Fred Roberts,12.6,BOS
Alvin Robertson,18.9,SAS
Cliff Robinson,15.7,PHI
Dennis Rodman,17.4,DET
Tree Rollins,10.6,ATL
John Salley,14.2,DET
Danny Schayes,18.4,DEN
Detlef Schrempf,14.2,DAL
Byron Scott,19.2,LAL
Brad Sellers,10.7,CHI
Purvis Short,15.8,HOU
Jack Sikma,17.4,MIL
Kenny Smith,13.3,SAC
Otis Smith,19.4,GSW
Steve Stipanovich,15.0,IND
John Stockton,23.2,UTA
Jon Sundvold,12.6,SAS
Roy Tarpley,19.5,DAL
Reggie Theus,16.5,SAC
Isiah Thomas,18.2,DET
LaSalle Thompson,15.3,SAC
Mychal Thompson,14.6,LAL
Otis Thorpe,18.7,SAC
Wayman Tisdale,16.1,IND
Trent Tucker,11.8,NYK
Melvin Turpin,13.8,UTA
Terry Tyler,12.4,SAC
Darnell Valentine,13.5,LAC
Kiki Vandeweghe,19.8,POR
Jay Vincent,15.6,DEN
Kenny Walker,12.3,NYK
Pearl Washington,13.1,NJN
Spud Webb,14.8,ATL
Mark West,13.9,CLE
Jerome Whitehead,10.8,GSW
Dominique Wilkins,23.7,ATL
Gerald Wilkins,13.7,NYK
Buck Williams,18.2,NJN
Herb Williams,12.0,IND
Hot Rod Williams,15.8,CLE
John Williams,14.9,WSB
Kevin Williams,12.0,SEA
Kevin Willis,14.0,ATL
David Wingate,8.5,PHI
Randy Wittman,11.6,ATL
Joe Wolf,7.6,LAC
Mike Woodson,14.7,LAC
James Worthy,18.2,LAL
